,MATICUSDT,STXUSDT,Spread,ZScore
78,0.9487,0.253,0.022719999999999962,-0.5731601460984637
79,0.9468,0.254,0.017159999999999953,-1.405187851536839
80,0.947,0.256,0.010039999999999938,-2.132981594104412
81,0.9448,0.258,0.0005199999999999649,-2.6564002131956315
82,0.9421,0.258,-0.0021799999999999597,-2.3863095170073594
83,0.9468,0.258,0.0025199999999999667,-1.7012103603820294
84,0.9433,0.257,0.0026800000000000157,-1.4975623154066773
85,0.9295,0.255,-0.0038000000000000256,-1.7771955899128475
86,0.9287,0.254,-0.0009400000000000519,-1.3887958885222138
87,0.9312,0.255,-0.0020999999999999908,-1.4044035018301775
88,0.9343,0.256,-0.0026599999999999957,-1.3137082165126774
89,0.9344,0.257,-0.006220000000000003,-1.4327533812592188
90,0.9392,0.256,0.0022400000000000198,-0.6972514861943625
91,0.9312,0.256,-0.005759999999999987,-1.2381473383087764
92,0.9412,0.256,0.0042400000000000215,-0.3509203509817391
93,0.9513,0.259,0.0033599999999999186,-0.3520234290197824
94,0.952,0.259,0.0040599999999998415,-0.20789240837601128
95,0.9442,0.257,0.0035800000000000276,-0.18574010246113104
96,0.949,0.259,0.0010599999999998388,-0.37819208930774484
97,0.9528,0.26,0.0011999999999998678,-0.2817348878629362
98,0.9489,0.258,0.0046199999999999575,0.27887183767963303
99,0.9573,0.259,0.009359999999999924,1.3356325669048645
100,0.9521,0.258,0.007819999999999938,1.3897152016310466
101,0.9531,0.258,0.008819999999999939,1.6665825705578372
102,0.9464,0.257,0.005780000000000007,0.8948110255294713
103,0.9438,0.257,0.0031799999999999606,0.25881678576425077
104,0.9413,0.255,0.008000000000000007,1.2485295256551208
105,0.943,0.255,0.009699999999999931,1.4593594833694388
106,0.9419,0.253,0.015919999999999934,2.283653461894048
107,0.9446,0.255,0.011299999999999977,1.2857939568426242
108,0.945,0.255,0.011699999999999933,1.2310611226085535
109,0.947,0.255,0.013699999999999934,1.4381339942783447
110,0.9538,0.258,0.009519999999999973,0.6349382617257154
111,0.9497,0.256,0.012739999999999974,1.1586582742043818
112,0.9565,0.257,0.015880000000000005,1.7523504296623205
113,0.9622,0.259,0.01425999999999994,1.2590900965584888
114,0.9752,0.26,0.023599999999999843,2.5499139871891536
115,0.9822,0.261,0.026939999999999853,2.4849996952409126
116,0.978,0.263,0.015419999999999878,0.6789921019874021
117,0.9862,0.265,0.01629999999999987,0.7383971318188166
118,1.0058,0.272,0.010279999999999956,-0.32222149318270393
119,1.0099,0.272,0.014379999999999948,0.32309359506697044
120,1.0136,0.273,0.014419999999999988,0.2886230376413604
121,1.0267,0.276,0.016539999999999777,0.6079658552849527
122,1.0269,0.273,0.027719999999999856,2.2061623996250335
123,1.0283,0.274,0.025459999999999816,1.6440879604894276
124,1.0194,0.275,0.012899999999999912,-0.4646591633193433
125,1.0186,0.274,0.015759999999999774,-0.030417073269344997
126,1.0235,0.276,0.013339999999999907,-0.5209811802884621
127,1.018,0.277,0.0041799999999998505,-1.925157178533229
128,1.0234,0.277,0.009579999999999922,-0.983930865401478
129,1.0225,0.277,0.008679999999999799,-1.0868717665426435
130,1.0162,0.276,0.006039999999999823,-1.3865445061246842
131,1.0262,0.277,0.012379999999999836,-0.42713704381040907
132,1.0087,0.272,0.013179999999999858,-0.30450970011997996
133,1.0117,0.274,0.008859999999999868,-0.9140850589499241
134,1.019,0.274,0.01615999999999973,0.20036663085986317
135,1.0152,0.274,0.012359999999999927,-0.31874478523950794
136,1.0097,0.275,0.0031999999999998696,-1.6897789407071708
137,1.0075,0.272,0.01197999999999999,-0.17855473868960725
138,1.0182,0.278,0.0007199999999998319,-1.8012283851875115
139,1.0146,0.276,0.0044399999999997775,-1.1408296579746975
140,1.0168,0.276,0.006639999999999757,-0.745321929996235
141,1.0173,0.277,0.0034799999999999276,-1.1061387210480067
142,1.0132,0.274,0.010359999999999925,-0.06905922092440647
143,1.0166,0.277,0.0027799999999997826,-1.1817031626024868
144,1.004,0.273,0.0048199999999999354,-0.8307280510443753
145,0.9898,0.271,-0.0020600000000000618,-1.9750730065582414
146,0.996,0.272,0.00047999999999992493,-1.3519131560896769
147,0.9878,0.273,-0.011380000000000057,-2.79632603099835
148,0.9812,0.272,-0.01432000000000011,-2.545745119576811
149,0.985,0.272,-0.010520000000000085,-1.7736329011040384
150,0.9892,0.273,-0.0099800000000001,-1.5137276898139929
151,0.993,0.273,-0.006180000000000074,-0.990833764872276
